Texto,Categoria
Los hombres no lloran,2
Estoy enamorado de cuatro babies,3
Lo mueve rico,3
Ya no sé que hacer No sé con cuál quedarme Todas saben en la cama maltratarme,3
Dos son casadas hay una soltera La otra medio psycho Y si no la llamo se desespera,3
La primera se desespera Se encojona si se lo echo afueraLa segunda tiene la funda Y me paga pa que se lo hunda La tercera me quita el estrés Polvos corridos siempre echamos tres,3
La pelirroja chichando es la más que se moja La encojona que me llame y no lo coja Peleamos y me bota la ropa Y tengo que llamar la cotorra pa' que la recoja Tengo una chiquitita nalgona con el pelo corto,3 
Estoy enamorado de cuatro babys Siempre me dan lo que quiero Chingan cuando yo les digo Ninguna me pone pero,3
Cuatro chimbitas Cuatro personalidades Dos me hablan bonito Dos dicen maldades Diferentes nacionalidades Pero cuando chingan Gritan todas por iguales,3
Quieren que la lleve pa Medallo Quieren que la monte en carro del año Que a una la coja a la otra la apriete Y a las otras dos les dé juntas en el baño Digan qué más quieren hacer,3
Prende otro phillie bebé Que ya mismo este se apaga Vamos para el cuarto,3
hola es un buen dia,1
hola eres muy bueno,1
eres educada,1
